id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,color,quality,date_added
1747,9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,red,neutral,2022-03-29
1748,6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,white,neutral,2024-02-07
1749,6,0.31,0.24,3.3,0.041,25,143,0.9914,3.31,0.44,11.3,white,neutral,2023-03-29
1750,7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,white,neutral,2023-07-14
1751,7,0.34,0.3,1.8,0.045,44,142,0.9914,2.99,0.45,10.8,white,neutral,2024-11-30
1752,5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,white,moderately dissatisfied,2022-04-04
1753,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,white,slightly satisfied,2023-10-25
1754,7.4,0.38,0.34,8.3,0.052,44,168,0.99627,3.11,0.52,9.2,white,slightly dissatisfied,2024-04-08
1755,8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,red,neutral,2022-08-18
1756,6.8,0.21,0.31,2.9,0.046,40,121,0.9913,3.07,0.65,10.9,white,slightly satisfied,2024-08-30
1757,7.5,0.35,0.28,9.6,0.051,26,157,0.9969,3.12,0.53,9.2,white,neutral,2023-01-14
1758,7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,white,slightly satisfied,2022-03-22
1759,6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,white,slightly dissatisfied,2024-10-26
1760,7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,white,neutral,2023-04-04
1761,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,white,moderately satisfied,2023-03-29
1762,7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,red,slightly dissatisfied,2022-12-30
1763,7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,red,neutral,2022-09-17
1764,6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,white,slightly dissatisfied,2023-07-17
1765,5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5,white,slightly dissatisfied,2023-06-25
1766,7.1,0.33,0.25,1.6,0.03,25,126,0.9901,3.22,0.34,12.1,white,slightly satisfied,2024-07-27
1767,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,white,slightly satisfied,2022-03-27
1768,7.1,0.55,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2,white,neutral,2022-01-06
1769,6.4,0.33,0.24,1.6,0.054,25,117,0.9943,3.36,0.5,9.3,white,slightly dissatisfied,2024-09-09
1770,6.5,0.12,0.29,1.95,0.038,73,166,0.989,3.12,0.25,12.9,white,slightly satisfied,2023-04-29
1771,5.9,0.26,0.24,2.4,0.046,27,132,0.99234,3.63,0.73,11.3,white,slightly dissatisfied,2024-12-08
1772,8.3,0.3,0.36,10,0.042,33,169,0.9982,3.23,0.51,9.3,white,neutral,2022-12-11
1773,7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,white,neutral,2023-07-08
1774,6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8,white,slightly dissatisfied,2023-10-02
1775,6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,white,slightly dissatisfied,2024-03-21
1776,4.9,0.47,0.17,1.9,0.035,60,148,0.98964,3.27,0.35,11.5,white,neutral,2024-08-18
1777,7.4,0.2,0.37,1.2,0.028,28,89,0.99132,3.14,0.61,11.8,white,neutral,2022-12-18
1778,6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,white,slightly dissatisfied,2024-03-24
1779,8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,red,neutral,2022-12-31
1780,7.5,0.25,0.47,4.1,0.041,95,163,0.99184,2.92,0.59,11.3,white,neutral,2023-08-09
1781,6.3,0.34,0.31,6,0.02,18,68,0.98981,3.22,0.29,13.4,white,slightly satisfied,2022-03-22
1782,7.6,0.27,0.3,9.2,0.018,23,96,0.9938,3.08,0.29,11,white,neutral,2024-05-03
1783,6.6,0.26,0.28,9.4,0.028,13,121,0.99254,3.17,0.34,12.1,white,neutral,2022-11-12
1784,7.6,0.35,0.47,13.3,0.037,42,116,0.99822,3.04,0.5,9.2,white,slightly dissatisfied,2022-08-06
1785,7.3,0.14,0.49,1.1,0.038,28,99,0.9928,3.2,0.72,10.6,white,neutral,2024-09-20
1786,7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,red,slightly dissatisfied,2022-10-02
1787,7.8,0.48,0.68,1.7,0.415,14,32,0.99656,3.09,1.06,9.1,red,neutral,2024-11-09
1788,7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,white,slightly dissatisfied,2023-08-31
1789,6.7,0.23,0.33,8.1,0.048,45,176,0.99472,3.11,0.52,10.1,white,neutral,2024-12-08
1790,7.6,0.28,0.39,1.9,0.052,23,116,0.9941,3.25,0.4,10.4,white,neutral,2022-01-29
1791,6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,red,neutral,2022-06-19
1792,5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,white,slightly dissatisfied,2023-05-04
1793,6.8,0.25,0.28,5,0.035,42,126,0.99048,3.12,0.38,12.6,white,slightly satisfied,2023-08-10
1794,6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,white,neutral,2023-03-12
1795,6.4,0.37,0.49,13.3,0.045,53,243,0.9982,3.14,0.48,8.5,white,neutral,2024-04-09
1796,6.6,0.28,0.23,10.4,0.049,45,190,0.99754,3.12,0.51,8.8,white,slightly dissatisfied,2023-01-30
1797,6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9,white,slightly satisfied,2023-08-01
1798,6.1,0.41,0.24,1.6,0.049,16,137,0.993,3.32,0.5,10.4,white,neutral,2024-01-26
1799,6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,white,slightly satisfied,2024-06-07
1800,13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,red,neutral,2023-10-04
1801,7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,white,neutral,2024-11-23
1802,6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,white,slightly satisfied,2024-06-22
1803,5.8,0.35,0.15,10.8,0.033,26,120,0.99494,3.25,0.49,10,white,neutral,2022-08-26
1804,7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,white,neutral,2022-03-19
1805,5.8,0.15,0.31,5.9,0.036,7,73,0.99152,3.2,0.43,11.9,white,neutral,2024-06-04
1806,7.8,0.32,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5,white,slightly dissatisfied,2023-10-05
1807,6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,white,neutral,2022-03-12
1808,6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,white,slightly dissatisfied,2023-11-22
1809,6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,red,slightly satisfied,2022-04-28
1810,10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,red,slightly dissatisfied,2023-07-24
1811,8.3,0.4,0.38,1.1,0.038,15,75,0.9934,3.03,0.43,9.2,white,slightly dissatisfied,2022-11-13
1812,6.5,0.36,0.28,3.2,0.037,29,119,0.9908,3.25,0.65,12.4,white,moderately satisfied,2024-03-30
1813,5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,red,slightly dissatisfied,2023-11-12
1814,7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,white,slightly satisfied,2024-02-15
1815,9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,red,slightly dissatisfied,2022-05-24
1816,5.8,0.26,0.29,1,0.042,35,101,0.99044,3.36,0.48,11.4,white,slightly satisfied,2023-04-19
1817,8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,white,slightly dissatisfied,2023-10-29
1818,8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,red,slightly dissatisfied,2023-08-29
1819,5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9,white,slightly satisfied,2023-03-18
1820,6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10,white,slightly dissatisfied,2024-08-07
1821,6,0.21,0.34,2,0.042,63,123,0.99052,3.44,0.42,11.4,white,neutral,2023-12-20
1822,8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,red,slightly satisfied,2023-02-13
1823,7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,white,slightly dissatisfied,2023-04-26
1824,15.5,0.65,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,red,slightly dissatisfied,2024-08-03
1825,6.7,0.21,0.49,1.4,0.047,30,114,0.9914,2.92,0.42,10.8,white,slightly satisfied,2023-11-30
1826,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,red,slightly dissatisfied,2024-02-13
1827,6.4,0.79,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4,red,neutral,2024-04-21
1828,6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,white,neutral,2023-03-01
1829,6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,white,neutral,2023-02-22
1830,6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,red,neutral,2022-11-30
1831,6.4,0.3,0.27,5,0.058,27,151,0.99198,3.22,0.49,12.2,white,neutral,2022-02-27
1832,9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,red,slightly dissatisfied,2022-02-24
1833,7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,red,neutral,2024-12-03
1834,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,white,slightly satisfied,2023-09-18
1835,10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,red,slightly dissatisfied,2024-07-01
1836,6.7,0.3,0.44,18.75,0.057,65,224,0.99956,3.11,0.53,9.1,white,slightly dissatisfied,2024-01-18
1837,7.3,0.31,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,red,neutral,2024-12-06
1838,7.7,0.42,0.31,9.2,0.048,22,221,0.9969,3.06,0.61,9.2,white,neutral,2022-07-20
1839,8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,red,neutral,2022-09-28
1840,7.1,0.29,0.3,16,0.036,58,201,0.99954,3.3,0.67,9,white,slightly dissatisfied,2023-09-05
1841,9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,red,slightly dissatisfied,2023-10-15
1842,6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.57,white,slightly dissatisfied,2022-09-10
1843,3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,white,neutral,2022-10-26
1844,7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,white,slightly satisfied,2022-01-31
1845,7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,white,neutral,2023-09-14
1846,6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,white,slightly dissatisfied,2022-09-02
1847,6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,white,slightly dissatisfied,2024-01-11
1848,7.2,0.16,0.35,1.2,0.031,27,84,0.9928,3.33,0.34,9.9,white,slightly dissatisfied,2022-11-27
1849,6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,white,neutral,2022-06-25
1850,6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,white,slightly satisfied,2023-08-07
1851,4.8,0.17,0.28,2.9,0.03,22,111,0.9902,3.38,0.34,11.3,white,slightly satisfied,2023-04-14
1852,6,0.27,0.4,1.7,0.021,18,82,0.9891,3.24,0.95,13.13,white,neutral,2024-02-25
1853,6.4,0.32,0.35,4.8,0.03,34,101,0.9912,3.36,0.6,12.5,white,moderately satisfied,2023-08-10
1854,7.4,0.29,0.5,1.8,0.042,35,127,0.9937,3.45,0.5,10.2,white,slightly satisfied,2022-10-31
1855,8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,red,slightly dissatisfied,2022-08-27
1856,7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,white,slightly satisfied,2022-07-31
1857,6.3,0.36,0.2,2,0.048,48,191,0.9929,3.17,0.51,9.6,white,slightly dissatisfied,2024-07-20
1858,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,red,slightly dissatisfied,2023-08-30
1859,5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,white,neutral,2022-03-22
1860,12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,red,slightly satisfied,2022-09-03
1861,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,white,neutral,2023-05-08
1862,8.1,0.46,0.31,1.7,0.052,50,183,0.9923,3.03,0.42,11.2,white,slightly dissatisfied,2023-09-24
1863,6.6,0.63,0,4.3,0.093,51,78,0.99558,3.2,0.45,9.5,red,slightly dissatisfied,2024-09-13
1864,8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,red,slightly dissatisfied,2024-02-09
1865,7.7,0.31,0.23,2,0.069,29,134,0.99382,3.11,0.62,9.8,white,slightly dissatisfied,2023-04-27
1866,7,0.23,0.42,1.1,0.062,35,100,0.99318,3.04,0.4,9.2,white,slightly dissatisfied,2024-09-28
1867,10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,white,slightly dissatisfied,2023-04-20
1868,10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,red,neutral,2022-03-29
1869,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,white,neutral,2022-02-15
1870,8.6,0.55,0.35,15.55,0.057,36,367,1.0001,3.04,0.63,11,white,extremly dissatisfied,2022-11-15
1871,6.6,0.29,0.49,11.4,0.035,57,137,0.99732,3.08,0.54,8.9,white,neutral,2023-11-06
1872,5.8,0.27,0.26,3.5,0.071,26,69,0.98994,3.1,0.38,11.5,white,neutral,2024-07-06
1873,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,red,neutral,2022-09-06
1874,6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,white,neutral,2024-09-08
1875,6.6,0.71,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,red,slightly dissatisfied,2024-11-24
1876,9.2,0.58,0.2,3,0.081,15,115,0.998,3.23,0.59,9.5,red,slightly dissatisfied,2024-05-14
1877,6.9,0.24,0.23,7.1,0.041,20,97,0.99246,3.1,0.85,11.4,white,neutral,2024-02-10
1878,6.1,0.36,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,white,neutral,2022-02-07
1879,6.9,0.17,0.22,4.6,0.064,55,152,0.9952,3.29,0.37,9.3,white,neutral,2023-12-02
1880,10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,red,slightly satisfied,2022-03-21
1881,6,0.16,0.27,12,0.03,39,98,0.99402,3.15,0.34,10.8,white,slightly dissatisfied,2023-04-05
1882,6.2,0.36,0.38,3.2,0.031,20,89,0.98956,3.06,0.33,12,white,slightly satisfied,2023-04-15
1883,7.4,0.16,0.33,1.2,0.042,47,121,0.99198,3.04,0.68,10.5,white,slightly satisfied,2022-11-24
1884,6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,white,slightly dissatisfied,2023-01-24
1885,7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,red,slightly dissatisfied,2022-08-09
1886,6.4,0.39,0.33,3.3,0.046,12,53,0.99294,3.36,0.62,12.2,red,neutral,2024-11-07
1887,6.6,0.23,0.32,1.7,0.024,26,102,0.99084,3.29,0.6,11.8,white,neutral,2022-06-27
1888,10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,red,moderately dissatisfied,2024-08-03
1889,7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,red,neutral,2023-03-01
1890,8.3,0.33,0.42,2.3,0.07,9,20,0.99426,3.38,0.77,12.7,red,slightly satisfied,2023-09-16
1891,8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3,white,slightly satisfied,2022-02-06
1892,10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,red,slightly satisfied,2023-05-10
1893,6.6,0.32,0.36,8,0.047,57,168,0.9949,3.15,0.46,9.6,white,slightly dissatisfied,2024-08-15
1894,6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9,white,neutral,2022-11-16
1895,8,0.22,0.28,14,0.053,83,197,0.9981,3.14,0.45,9.8,white,neutral,2022-09-24
1896,6.2,0.18,0.3,1,0.031,23,73,0.99032,3.23,0.52,11.3,white,neutral,2022-02-24
1897,6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,red,slightly dissatisfied,2023-01-27
1898,6.1,0.25,0.3,1.2,0.036,42,107,0.991,3.34,0.56,10.8,white,slightly satisfied,2024-08-11
1899,8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,white,neutral,2024-08-07
1900,6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,white,neutral,2024-05-08
1901,7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,red,neutral,2023-04-03
1902,6.5,0.16,0.33,4.8,0.043,45,114,0.992,3.18,0.44,11.2,white,neutral,2023-12-03
1903,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,red,neutral,2023-07-16
1904,6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,white,neutral,2023-07-20
1905,6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,red,slightly satisfied,2022-12-17
1906,8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,red,slightly dissatisfied,2023-03-29
1907,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,white,neutral,2022-07-20
1908,7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,white,neutral,2023-03-18
1909,6,0.22,0.28,1.1,0.034,47,90,0.98862,3.22,0.38,12.6,white,neutral,2024-01-17
1910,7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,red,neutral,2023-11-30
1911,7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,white,slightly dissatisfied,2023-12-31
1912,7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,white,neutral,2022-09-10
1913,6.6,0.24,0.33,10.1,0.032,8,81,0.99626,3.19,0.51,9.8,white,neutral,2022-03-30
1914,8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,red,neutral,2023-10-25
1915,6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,white,slightly dissatisfied,2024-07-15
1916,6,0.33,0.38,9.7,0.04,29,124,0.9954,3.47,0.48,11,white,neutral,2022-05-12
1917,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,white,neutral,2024-01-12
1918,6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,red,neutral,2023-12-23
1919,6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9,white,slightly dissatisfied,2023-02-12
1920,9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,red,neutral,2024-06-09
1921,6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,white,neutral,2022-08-16
1922,7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,red,neutral,2024-07-31
1923,8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,red,slightly dissatisfied,2024-09-17
1924,8,0.34,0.25,6.4,0.035,38,103,0.99148,2.91,0.23,12.2,white,neutral,2024-10-05
1925,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,white,slightly dissatisfied,2022-01-02
1926,6.4,0.39,0.21,1.2,0.041,35,136,0.99225,3.15,0.46,10.2,white,slightly dissatisfied,2022-02-20
1927,5.9,0.32,0.28,4.7,0.039,34,94,0.98964,3.22,0.57,13.1,white,slightly satisfied,2023-01-17
1928,6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,white,slightly dissatisfied,2023-04-25
1929,7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,white,neutral,2023-09-26
1930,7.3,0.15,0.4,2,0.05,24,92,0.9932,3.14,0.45,10.5,white,slightly dissatisfied,2022-12-09
1931,6.2,0.21,0.38,6.8,0.036,64,245,0.9951,3.06,0.36,9.3,white,neutral,2022-09-30
1932,7.5,0.15,0.38,1.8,0.054,19,101,0.9946,3.24,0.44,10,white,slightly dissatisfied,2024-07-01
1933,8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5,white,moderately dissatisfied,2023-10-18
1934,11.7,0.45,0.63,2.2,0.073,7,23,0.99974,3.21,0.69,10.9,red,neutral,2024-11-22
1935,9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,red,slightly dissatisfied,2024-06-08
1936,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,red,slightly satisfied,2022-05-06
1937,8.3,0.28,0.45,7.8,0.059,32,139,0.9972,3.33,0.77,11.2,white,neutral,2023-02-24
1938,7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,white,slightly satisfied,2022-09-22
1939,7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,white,slightly dissatisfied,2024-01-30
1940,6.7,0.27,0.22,8.6,0.048,54,198,0.9955,3.25,0.41,10.2,white,slightly dissatisfied,2022-06-07
1941,6.7,0.66,0,13,0.033,32,75,0.99551,3.15,0.5,10.7,white,neutral,2023-04-25
1942,5.3,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,white,slightly satisfied,2024-10-18
1943,6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,white,slightly satisfied,2024-02-05
1944,8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,red,slightly dissatisfied,2023-01-15
1945,8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,red,neutral,2024-11-16
1946,6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,white,neutral,2024-03-03
1947,8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9,red,neutral,2022-07-07
1948,8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,white,neutral,2024-07-19
1949,8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,white,neutral,2023-12-04
1950,7.7,0.28,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,white,slightly dissatisfied,2024-03-13
1951,6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,white,slightly dissatisfied,2023-06-04
1952,6,0.32,0.46,1.5,0.05,56,189,0.99308,3.24,0.49,9.6,white,slightly dissatisfied,2024-06-06
1953,5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,white,slightly satisfied,2024-09-10
1954,10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,red,slightly satisfied,2022-07-19
1955,5.8,0.19,0.25,10.8,0.042,33,124,0.99646,3.22,0.41,9.2,white,neutral,2024-01-15
1956,6.9,0.28,0.33,1.2,0.039,16,98,0.9904,3.07,0.39,11.7,white,neutral,2023-02-01
1957,6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8,white,slightly dissatisfied,2024-07-28
1958,7,0.24,0.25,1.7,0.042,48,189,0.992,3.25,0.42,11.4,white,neutral,2022-05-13
1959,6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,white,slightly dissatisfied,2024-11-03
1960,6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,white,neutral,2024-02-11
1961,6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,white,neutral,2023-02-16
1962,6.5,0.2,0.35,3.9,0.04,27,140,0.99102,2.98,0.53,11.8,white,neutral,2024-04-09
1963,6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,white,neutral,2023-01-20
1964,8.6,0.18,0.4,1.1,0.04,20,107,0.9923,2.94,0.32,10.2,white,slightly satisfied,2023-02-03
1965,9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,white,moderately dissatisfied,2024-09-16
1966,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,red,neutral,2024-02-01
1967,6.9,0.26,0.29,4.2,0.043,33,114,0.9902,3.16,0.31,12.5,white,neutral,2024-04-15
1968,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,red,neutral,2023-08-20
1969,7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,white,slightly dissatisfied,2023-12-22
1970,7,0.22,0.24,11,0.041,75,167,0.99508,2.98,0.56,10.5,white,neutral,2023-11-01
1971,7.1,0.15,0.33,4.6,0.05,33,131,0.9942,3.28,0.4,9.6,white,neutral,2022-08-12
1972,6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,white,moderately satisfied,2022-01-07
1973,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,white,neutral,2022-04-13
1974,6.4,0.2,0.28,2.5,0.032,24,84,0.99168,3.31,0.55,11.5,white,slightly dissatisfied,2024-08-19
1975,8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,white,neutral,2023-11-11
1976,8.8,0.24,0.23,10.3,0.032,12,97,0.99571,3.13,0.4,10.7,white,neutral,2024-05-10
1977,6.4,0.31,0.39,7.5,0.04,57,213,0.99475,3.32,0.43,10,white,slightly dissatisfied,2022-02-15
1978,6.8,0.48,0.33,3.95,0.047,16,81,0.98988,3.23,0.53,13.4,white,slightly satisfied,2024-06-01
1979,6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,white,slightly dissatisfied,2022-03-24
1980,5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3,white,neutral,2023-09-16
1981,8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,red,slightly dissatisfied,2022-03-15
